Nitrogen,phosphorus,potassium,temperature,humidity,ph,rainfall,label
129,47,20,24.41212325,80.80343786,6.281913858,98.60457373,cotton
20,68,23,25.54960633,63.95425534,7.707332484,63.1830529,blackgram
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,rice
26,64,22,25.95058595,40.58227261,5.16516459,109.1821183,pigeonpeas
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice
120,60,15,22.31871914,83.86129998,7.288377241,65.35747011,cotton
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,maize
48,62,15,25.36586097,66.6379724,7.538631462,65.81655892,blackgram
27,57,24,27.33534897,43.35795962,6.09186275,142.3303677,pigeonpeas
27,64,21,32.84213012,68.68401492,7.543804223,73.67166182,blackgram
25,62,21,26.73433965,68.13999721,7.040056094,67.15096376,blackgram
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,rice
56,75,15,30.20157245,60.06534859,7.152272256,66.37171179,blackgram
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,rice
18,58,16,21.47607807,38.80023714,4.962661422,180.382234,pigeonpeas
39,37,15,28.9973145,83.78911515,6.821747052,59.84499208,mungbean
41,62,15,29.38400259,64.14928485,7.358974541,65.24194361,blackgram
5,68,20,18.72987676,61.33186249,5.001038726,139.8710041,pigeonpeas
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,maize
33,57,17,27.89636126,88.71782287,6.78415271,57.79863368,mungbean
24,44,17,29.8596912,80.03499648,6.666380512,50.66487502,mungbean
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice
81,45,23,19.32666088,68.034493,6.192360003,84.22969177,maize
33,37,19,27.92678579,86.5543196,7.183189922,43.4826194,mungbean
36,80,21,33.64769646,48.41490082,7.066087261,100.4673278,pigeonpeas
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,maize
