State,District,Year,Arhar/Tur,,,Banana,,,Castor seed,,,Cotton(lint),,,Cowpea(Lobia),,,Dry chillies,,,Ginger,,,Groundnut,,,Jowar,,,Maize,,,Moong(Green Gram),,,Onion,,,Rice,,,Sesamum,,,Soyabean,,,Sugarcane,,,Turmeric,,,Urad,,,Bajra,,,Small millets,,,Tobacco,,,Coriander,,,Garlic,,,Gram,,,Wheat,,,Cashewnut,,,Ragi,,,Horse-gram,,,Sweet potato,,,Safflower,,,Sunflower,,,Potato,,
,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Telangana,1. Adilabad,2018 - 2019,"23,984.00","31,923.00",1.33,11,677,61.55,23,18,0.78,"1,42,447.00","3,62,821.00",2.55,97,77,0.79,28,120,4.29,2,14,7,8,20,2.5,"2,783.00","2,001.00",0.72,469,"1,456.00",3.1,"1,253.00","1,031.00",0.82,1,13,13,385,"1,222.00",3.17,30,5,0.17,"26,451.00","41,369.00",1.56,8,664,83,229,"1,489.00",6.5,"1,524.00","1,399.00",0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019 - 2020,"23,803.00","29,585.00",1.24,17,"1,005.00",59.12,7,9,1.29,"1,40,332.00","6,64,975.00",4.74,17,21,1.24,39,209,5.36,3,20,6.67,,,,"1,571.00","1,643.00",1.05,218,"1,055.00",4.84,765,499,0.65,1,22,22,508,"1,846.00",3.63,2,,0,"37,263.00","67,218.00",1.8,5,470,94,169,"1,178.00",6.97,804,478,0.59,28,34,1.21,43,74,1.72,12,36,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020 - 2021,"25,002.00","22,671.00",0.91,17,793,46.65,5,2,0.4,"1,71,507.00","4,58,698.00",2.67,12,8,0.67,12,78,6.5,1,9,9,6,10,1.67,"1,538.00","1,277.00",0.83,27,124,4.59,415,193,0.47,,,,884,"2,607.00",2.95,28,3,0.11,"31,687.00","42,675.00",1.35,4,392,98,60,468,7.8,378,110,0.29,,,,,,,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2021 - 2022,"24,482.00","24,286.00",0.99,17,580,34.12,4,2,0.5,"1,56,685.00","4,01,848.00",2.56,14,12,0.86,70,196,2.8,1,9,9,1,2,2,"1,804.00",744,0.41,415,"1,896.00",4.57,471,189,0.4,3,48,16,804,"2,650.00",3.3,37,8,0.22,"41,146.00","73,900.00",1.8,10,"1,040.00",104,76,559,7.36,478,235,0.49,,,,,,,,,,1,1,1,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2022 - 2023,"30,725.00","30,633.00",1,17,717,42.18,6,4,0.67,"1,50,384.00","4,76,806.00",3.17,8,6,0.75,72,269,3.74,1,9,9,2,5,2.5,"1,199.00",504,0.42,"1,002.00","4,563.00",4.55,365,209,0.57,,,,671,"2,347.00",3.5,,,,"54,555.00","86,361.00",1.58,9,855,95,53,398,7.51,572,349,0.61,,,,,,,,,,1,0,0,,,,4,6,1.5,21,43,2.05,,,,,,,,,,,,,,,,,,,,,
,2. Bhadradri,2018 - 2019,799,"1,008.00",1.26,351,"20,440.00",58.23,,,,"48,246.00","1,17,209.00",2.43,11,9,0.82,"3,220.00","18,206.00",5.65,,,,334,836,2.5,,,,"6,182.00","15,523.00",2.51,128,81,0.63,,,,"46,593.00","1,53,058.00",3.28,27,5,0.19,2,3,1.5,717,"57,003.00",79.5,67,436,6.51,29,25,0.86,,,,,,,,,,,,,,,,,,,,,,"1,408.00",346,0.25,,,,,,,,,,,,,,,,,,
,,2019 - 2020,554,286,0.52,358,"16,890.00",47.18,,,,"48,548.00","1,65,831.00",3.42,6,4,0.67,"3,356.00","17,304.00",5.16,,,,329,902,2.74,6,7,1.17,"7,730.00","40,467.00",5.24,77,61,0.79,,,,"57,972.00","2,12,583.00",3.67,39,6,0.15,,,,458,"38,793.00",84.7,47,328,6.98,25,23,0.92,,,,2,3,1.5,,,,,,,,,,,,,,,,"1,399.00",428,0.31,,,,,,,,,,,,,,,,,,
,,2020 - 2021,"2,486.00","1,782.00",0.72,437,"12,136.00",27.77,,,,"52,424.00","1,60,794.00",3.07,29,20,0.69,"3,898.00","32,537.00",8.35,,,,315,498,1.58,8,6,0.75,"2,943.00","11,159.00",3.79,210,87,0.41,,,,"63,935.00","2,02,065.00",3.16,105,10,0.1,,,,551,"48,328.00",87.71,39,304,7.79,214,158,0.74,,,,,,,,,,,,,,,,,,,,,,"1,280.00",398,0.31,,,,,,,,,,,,,,,,,,
,,2021 - 2022,"4,661.00","4,978.00",1.07,759,"25,882.00",34.1,,,,"64,971.00","2,48,048.00",3.82,191,162,0.85,"10,882.00","42,287.00",3.89,,,,"1,255.00","2,928.00",2.33,18,12,0.67,"27,097.00","1,31,443.00",4.85,88,9,0.1,1,16,16,"70,799.00","2,25,479.00",3.18,91,20,0.22,,,,687,"69,904.00",101.75,22,162,7.36,610,484,0.79,,,,1,1,1,1,3,3,,,,,,,,,,,,,"5,477.00","3,407.00",0.62,4,6,1.5,,,,,,,,,,,,,,,
,,2022 - 2023,"2,852.00","2,564.00",0.9,759,"20,302.00",26.75,,,,"68,275.00","2,36,954.00",3.47,26,31,1.19,"7,790.00","37,197.00",4.77,1,9,9,551,"1,564.00",2.84,10,7,0.7,"22,252.00","1,07,388.00",4.83,80,25,0.31,,,,"66,484.00","2,30,699.00",3.47,26,13,0.5,,,,826,"79,923.00",96.76,13,98,7.54,142,294,2.07,,,,,,,,,,,,,,,,,,,,,,"4,481.00",968,0.22,,,,,,,,,,,,,,,,,,
,3. Jagitial,2018 - 2019,"2,067.00","3,408.00",1.65,26,"1,601.00",61.58,,,,"8,291.00","23,215.00",2.8,4,3,0.75,880,"1,847.00",2.1,,,,,,,,,,"23,980.00","1,52,345.00",6.35,"1,066.00",583,0.55,18,235,13.06,"58,567.00","2,48,968.00",4.25,,,,"1,352.00","1,901.00",1.41,414,"33,078.00",79.9,"13,483.00","1,08,120.00",8.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019 - 2020,"1,637.00","1,129.00",0.69,36,"2,128.00",59.11,,,,"11,291.00","38,405.00",3.4,4,3,0.75,"1,052.00","1,559.00",1.48,,,,,,,,,,"20,921.00","1,22,263.00",5.84,922,573,0.62,18,402,22.33,"92,491.00","4,12,140.00",4.46,,,,686,"1,140.00",1.66,210,"16,878.00",80.37,"13,918.00","1,20,961.00",8.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020 - 2021,"5,154.00","5,069.00",0.98,22,"1,027.00",46.68,,,,"11,946.00","39,593.00",3.31,10,7,0.7,919,"2,358.00",2.57,,,,,,,2,2,1,"12,573.00","82,488.00",6.56,688,594,0.86,,,,"1,14,178.00","3,61,696.00",3.17,,,,"2,412.00","3,852.00",1.6,373,"33,134.00",88.83,"8,617.00","1,14,055.00",13.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2021 - 2022,"4,335.00","4,300.00",0.99,23,784,34.09,,,,"8,598.00","25,238.00",2.94,9,8,0.89,989,"2,028.00",2.05,2,19,9.5,5,11,2.2,4,3,0.75,"22,271.00","1,33,415.00",5.99,188,101,0.54,,,,"1,18,515.00","4,18,121.00",3.53,,,,741,"1,420.00",1.92,585,"59,816.00",102.25,"8,698.00","89,998.00",10.35,4,3,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,12,12,,,,,,,,,
,,2022 - 2023,"1,636.00","1,083.00",0.66,23,970,42.17,1,1,1,"8,645.00","25,376.00",2.94,1,1,1,403,851,2.11,,,,,,,,,,"18,869.00","1,21,120.00",6.42,52,21,0.4,,,,"1,22,197.00","4,41,253.00",3.61,,,,862,"1,381.00",1.6,"1,087.00","1,18,968.00",109.45,"5,943.00","57,481.00",9.67,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
