State,District,Year,Coriander,,,Cowpea(Lobia),,,Dry chillies,,,Garlic,,,Gram,,,Groundnut,,,Jowar,,,Maize,,,Moong(Green Gram),,,Onion,,,Rice,,,Safflower,,,Sesamum,,,Sunflower,,,Tobacco,,,Urad,,,Wheat,,,Bajra,,,Castor seed,,,Arhar/Tur,,,Ginger,,,Soyabean,,,Turmeric,,,Cotton(lint),,,Horse-gram,,,Ragi,,,Sweet potato,,,Small millets,,,Potato,,
,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Telangana,1. Adilabad,2018 - 2019,263,263,1,35,39,1.11,17,104,6.12,10,26,2.6,"25,311.00","47,028.00",1.86,606,"1,508.00",2.49,"3,234.00","4,110.00",1.27,"1,004.00","5,599.00",5.58,3,3,1,74,"2,157.00",29.15,42,143,3.4,8,5,0.63,226,158,0.7,20,39,1.95,75,202,2.69,4,6,1.5,"2,128.00","3,650.00",1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019 - 2020,59,134,2.27,21,20,0.95,15,88,5.87,1,5,5,"34,397.00","56,694.00",1.65,404,948,2.35,"6,580.00","14,950.00",2.27,"3,121.00","20,465.00",6.56,42,40,0.95,14,480,34.29,197,733,3.72,16,18,1.13,295,188,0.64,,,,25,74,2.96,9,16,1.78,"2,192.00","4,320.00",1.97,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020 - 2021,156,165,1.06,13,14,1.08,5,29,5.8,1,0,0,"31,005.00","56,541.00",1.82,"1,042.00","2,480.00",2.38,"13,832.00","37,696.00",2.73,"1,425.00","9,305.00",6.53,213,203,0.95,31,"1,008.00",32.52,172,668,3.88,5,5,1,486,331,0.68,2,9,4.5,3,12,4,50,93,1.86,"2,513.00","8,253.00",3.28,12,11,0.92,,,,40,36,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2021 - 2022,200,163,0.82,18,12,0.67,13,66,5.08,,,,"36,353.00","52,821.00",1.45,516,"1,255.00",2.43,"13,392.00","23,972.00",1.79,"2,552.00","11,303.00",4.43,162,155,0.96,16,375,23.44,28,100,3.57,39,38,0.97,307,86,0.28,6,8,1.33,4,12,3,65,84,1.29,"1,956.00","5,043.00",2.58,2,2,1,,,,156,116,0.74,1,9,9,111,199,1.79,1,7,7,,,,,,,,,,,,,,,,,,
,,2022 - 2023,352,118,0.34,3,3,1,14,71,5.07,,,,"43,620.00","70,054.00",1.61,357,825,2.31,"15,699.00","22,983.00",1.46,"5,787.00","34,091.00",5.89,81,55,0.68,1,26,26,197,679,3.45,18,16,0.89,216,104,0.48,45,84,1.87,,,,19,30,1.58,"1,236.00","2,559.00",2.07,,,,4,5,1.25,105,186,1.77,,,,55,61,1.11,,,,9,29,3.22,,,,,,,,,,,,,,,
,2. Bhadradri,2018 - 2019,,,,293,366,1.25,"1,623.00","10,196.00",6.28,,,,,,,"1,194.00","2,786.00",2.33,120,198,1.65,"3,877.00","24,545.00",6.33,493,402,0.82,,,,"7,064.00","28,722.00",4.07,,,,63,44,0.7,5,10,2,694,"2,320.00",3.34,270,400,1.48,,,,,,,,,,11,14,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019 - 2020,,,,136,132,0.97,"1,572.00","6,939.00",4.41,,,,,,,"1,007.00","2,532.00",2.51,202,430,2.13,"6,434.00","37,646.00",5.85,393,283,0.72,,,,"22,711.00","74,810.00",3.29,,,,82,52,0.63,,,,551,"1,692.00",3.07,201,362,1.8,,,,,,,,,,11,6,0.55,,,,,,,,,,,,,4,3,0.75,,,,,,,,,,,,
,,2020 - 2021,,,,174,190,1.09,671,"5,543.00",8.26,,,,4,7,1.75,616,"2,928.00",4.75,242,612,2.53,"1,675.00","10,884.00",6.5,325,309,0.95,3,98,32.67,"27,375.00","42,158.00",1.54,,,,137,93,0.68,98,262,2.67,186,427,2.3,155,296,1.91,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,,,,,,,,,,,,
